Symbol,Name,Exchange,Enterprise Value,Market Cap,Cash,Total Liabilities,Net Profit Margin,Net Income,Revenue Growth,Return on EV,Share Price
CAH,Cardinal Health Inc.,NYSE,60.11,20.25,4.72,44.58,-0.51,-933,11.63,-15.521543836300117,78.75
KMX,Carmax Inc,NYSE,-69.68,11.94,102.72,21.1,3.47,1.15,65.22,-0.01650401836969001,75.91
CCL,Carnival Corp.,NYSE,55.72,15.11,4.03,44.64,-50.07,-6.09,537.74,-0.1092964824120603,11.88
CAT,Caterpillar Inc.,NYSE,186.32,129.43,9.39,66.28,12.73,6.49,22.09,0.034832546157148994,244.36
CNC,Centene Corporation,NYSE,76.95,40.26,14.66,51.35,1.14,1.35,13.44,0.017543859649122806,73.38
CNP,CenterPoint Energy,NYSE,44.89,18.34,1.71,28.26,17.79,1.49,12.59,0.03319224771664068,29.09
CF,CF Industries Holdings Inc,NYSE,21.39,16.68,1.63,6.34,14.03,917,58.54,42.870500233754086,85.53
SCHW,Charles Schwab Corporation,NYSE,NaN,150.24,91.14,NaN,34.6,7.18,12.11,NaN,80.74
CHTR,Charter Communications,NASDAQ,-451.42,61.61,645,131.97,NaN,5.06,4.53,-0.011209073590004873,400.13
CHK,Chesapeake Energy,NASDAQ,-888.52,11.14,905,5.34,86.67,6.33,58.24,-0.007124206545716473,83.87
CVX,Chevron Corp.,NYSE,NaN,326.8,NaN,NaN,NaN,35.47,58.25,NaN,170.81
CMG,Chipotle Mexican Grill,NYSE,49.04,45.76,1.08,4.36,8.65,652.98,26.11,13.315252854812398,1644.52
CB,Chubb Limited,NYSE,223.91,88.38,4.81,140.34,20.85,8.54,13.6,0.03814032423741682,213.32
CHD,Church & Dwight,NYSE,-215.49,20.35,240.6,4.76,15.94,827.5,6.01,-3.8400853867928904,82.79
CI,CIGNA Corp.,NYSE,190.89,89.18,6,107.71,3.08,5.37,8.55,0.028131384567028135,299.36
CINF,Cincinnati Financial,NASDAQ,37.05,19.91,1.14,18.28,30.59,2.95,27.79,0.07962213225371122,125.78
CTAS,Cintas Corporation,NASDAQ,-40.45,45.18,90.47,4.84,15.73,1.24,10.37,-0.030655129789864028,443.07
CSCO,Cisco Systems,NASDAQ,233.99999999999997,199.04,19.27,54.23,22.91,11.81,3.49,0.050470085470085475,47.7
C,Citigroup Inc.,NYSE,101.53999999999999,100.37,1.04,2.21,21.04,14.85,-5.91,0.14624778412448297,51.61
CFG,Citizens Financial Group,NYSE,212.74,21.39,11.69,203.04,27.47,2.07,6.93,0.009730187082824103,43.36
CME,CME Group Inc.,NASDAQ,234.16000000000003,67.73,2.95,169.38,56.34,2.64,-3.92,0.011274342330030747,186.39
CMS,CMS Energy,NYSE,-412.61,17.82,452,21.57,18.46,1.35,14.19,-0.003271854778119774,61.16
KO,Coca-Cola Company (The),NYSE,314.56,257.7,12.63,69.49,25.28,9.77,17.09,0.031059257375381483,59.59
CTSH,Cognizant Technology Solutions,NASDAQ,37.31,34.17,2.72,5.86,11.55,2.14,11.14,0.05735727686947199,67.41
CL,Colgate-Palmolive,NYSE,-699.35,60.72,775,14.93,NaN,1.79,3.13,-0.002559519553871452,73.18
CMCSA,Comcast Corp.,NASDAQ,336.69,166.2,4.75,175.24,4.42,5.37,4.33,0.015949389646262142,39.06
CMA,Comerica Inc.,NYSE,83.84,9.89,6.28,80.23,33.13,1.15,3.67,0.013716603053435113,75.84
CAG,Conagra Brands,NYSE,-52.629999999999995,17.1,83.3,13.57,7.7,888.2,3.14,-16.87630628918868,36.06
COP,ConocoPhillips,NYSE,175.30999999999997,136.64,6.59,45.26,17.31,8.08,142.82,0.04608978381153386,113.55
ED,Consolidated Edison,NYSE,-916.86,32.36,992,42.78,9.84,1.35,11.68,-0.0014724167266540148,91.1
STZ,Constellation Brands,NYSE,-144.1,41.49,199.4,13.81,-0.46,-40.4,2.39,0.28036086051353226,225.82
GLW,Corning Inc.,NYSE,44.78,29.32,2.15,17.61,13.54,1.91,24.59,0.04265297007592675,35.39
COST,Costco Wholesale Corp.,NASDAQ,259.34,226.87,11.05,43.52,2.57,5.84,15.83,0.022518701318732168,503.22
COTY,Coty Inc,NYSE,-222.63,9.71,240.9,8.56,4.89,259.5,14.57,-1.1656111036248484,11.27
CCI,Crown Castle International Corp.,NYSE,-63.849999999999994,60.68,156,31.47,23.98,1.68,10.19,-0.02631166797180893,139.04
CMI,Cummins Inc.,NYSE,46.99,35.87,3.19,14.31,8.87,2.13,21.25,0.04532879336028942,248.41
CVS,CVS Health,NYSE,258.54,113.45,12.53,157.62,2.72,7.91,8.59,0.030594878935561228,88.52
DHI,D. R. Horton,NYSE,42.21,34.08,2.44,10.57,17.5,5.86,20.54,0.13882966121772092,99.17
DHR,Danaher Corp.,NYSE,215.51,187.25,6,34.26,22.91,7.21,6.85,0.03345552410560995,256.24
DRI,Darden Restaurants,NYSE,-394.81,17.85,420.6,7.94,9.89,952.8,33.82,-2.4133127327068715,146.31
DVA,DaVita Inc.,NYSE,-461.96999999999997,7.49,484.21,14.75,8.42,978.45,0.59,-2.117994674978895,82.89
DE,Deere & Co.,NYSE,187.39,121.85,4.13,69.67,13.57,7.13,19.51,0.03804898874006084,409.31
DAL,Delta Air Lines Inc.,NYSE,84.30999999999999,25.02,6.53,65.82,2.61,1.32,69.18,0.015656505752579767,39.1
XRAY,Dentsply Sirona,NASDAQ,-353.9,7.86,366,4.24,9.71,411,26.71,-1.1613450127154563,36.99
DVN,Devon Energy Corp.,NYSE,46.94,37.41,2.1,11.63,21.45,2.81,191.29,0.05986365573072007,63.94
DLR,Digital Realty Trust Inc,NYSE,-92.17999999999998,32.67,142.7,17.85,38.62,1.71,15.09,-0.018550661748752445,112.83
DFS,Discover Financial Services,NYSE,126.7,30.77,21.11,117.04,31.45,4.39,17.65,0.03464877663772691,115.35
DISH,Dish Network,NASDAQ,34.33,7.65,5.4,32.08,13.48,2.41,15.41,0.07020099038741626,14.02
DG,Dollar General,NYSE,-272.86,51.9,344.83,20.07,7.01,2.4,1.4,-0.00879571941655061,231.38
DLTR,Dollar Tree,NASDAQ,-937.91,32.99,984.9,14,5.04,1.33,3.18,-0.00141804650766065,146.94
D,Dominion Energy,NYSE,-162.18,48.54,283,72.28,23.55,3.29,-1.47,-0.020286101862128498,58.06
DOV,Dover Corp.,NYSE,-357.42,21.87,385.5,6.21,14.21,1.12,18.3,-0.0031335683509596556,155.7
DTE,DTE Energy Co.,NYSE,25.14,22.13,28,31.01,6.06,907,31,36.077963404932376,113.7
DUK,Duke Energy,NYSE,-153.12,76.43,348,118.45,15.84,3.91,5.22,-0.025535527690700104,99.47
DXC,DXC Technology,NYSE,18.769999999999996,6.68,2.67,14.76,4.41,718,-8.26,38.25253063399042,29.12
EMN,Eastman Chemical,NYSE,NaN,10.58,461,NaN,7.5,793,0.99,NaN,88.36
ETN,Eaton Corporation,NYSE,-503.32,69.1,590,17.58,10.92,2.14,9.91,-0.004251768258761821,172.97
EBAY,eBay Inc.,NASDAQ,36.470000000000006,26.94,7.32,16.85,130.59,13.61,17.16,0.37318343844255547,48.8
ECL,Ecolab Inc.,NYSE,-299.25,46.7,359.9,13.95,8.87,1.13,8,-0.0037761069340016707,158.4
EIX,Edison Int'l,NYSE,-307.19,25.85,390,56.96,5.09,759,9.77,-2.4707835541521534,67.54
