Stock,Company Name,Ticker,Market Cap
NORTHROP GRUMMAN CORPORATION (XNYS:NOC),NORTHROP GRUMMAN CORPORATION,NOC, $80,861,408,058 
Altria Group, Inc. (XNYS:MO),Altria Group, Inc.,MO, $80,100,607,040 
THE SOUTHERN COMPANY (XNYS:SO),THE SOUTHERN COMPANY,SO, $67,500,590,000 
THE TJX COMPANIES, INC. (XNYS:TJX),THE TJX COMPANIES, INC.,TJX, $78,498,793,330 
THE BOEING COMPANY (XNYS:BA),THE BOEING COMPANY,BA, $83,917,398,784 
ANALOG DEVICES, INC. (XNAS:ADI),ANALOG DEVICES, INC.,ADI, $75,397,335,144 
DUKE ENERGY CORPORATION (XNYS:DUK),DUKE ENERGY CORPORATION,DUK, $68,111,440,047 
APPLIED MATERIALS, INC. (XNAS:AMAT),APPLIED MATERIALS, INC.,AMAT, $70,906,700,748 
ZOETIS INC. (XNYS:ZTS),ZOETIS INC.,ZTS, $68,914,683,306 
TARGET CORPORATION (XNYS:TGT),TARGET CORPORATION,TGT, $73,269,203,294 
THE PROGRESSIVE CORPORATION (XNYS:PGR),THE PROGRESSIVE CORPORATION,PGR, $71,645,495,000 
GENERAL ELECTRIC COMPANY (XNYS:GE),GENERAL ELECTRIC COMPANY,GE, $79,850,989,460 
INTUITIVE SURGICAL, INC. (XNAS:ISRG),INTUITIVE SURGICAL, INC.,ISRG, $78,025,226,088 
WASTE MANAGEMENT, INC. (XNYS:WM),WASTE MANAGEMENT, INC.,WM, $66,063,444,931 
EOG RESOURCES, INC. (XNYS:EOG),EOG RESOURCES, INC.,EOG, $79,116,007,500 
BOOKING HOLDINGS INC. (XNAS:BKNG),BOOKING HOLDINGS INC.,BKNG, $72,376,155,437 
CME GROUP INC. (XNAS:CME),CME GROUP INC.,CME, $61,100,066,667 
BECTON, DICKINSON AND COMPANY (XNYS:BDX),BECTON, DICKINSON AND COMPANY,BDX, $63,769,624,360 
3M COMPANY (XNYS:MMM),3M COMPANY,MMM, $66,535,431,559 
CROWN CASTLE INC. (XNYS:CCI),CROWN CASTLE INC.,CCI, $53,514,470,000 
HUMANA INC. (XNYS:HUM),HUMANA INC.,HUM, $64,610,725,998 
THE PNC FINANCIAL SERVICES GROUP, INC. (XNYS:PNC),THE PNC FINANCIAL SERVICES GROUP, INC.,PNC, $64,131,089,880 
U.S. BANCORP (XNYS:USB),U.S. BANCORP,USB, $60,189,109,840 
FISERV, INC. (XNAS:FISV),FISERV, INC.,FISV, $61,873,394,856 
COLGATE-PALMOLIVE COMPANY (XNYS:CL),COLGATE-PALMOLIVE COMPANY,CL, $59,614,570,694 
GENERAL DYNAMICS CORPORATION (XNYS:GD),GENERAL DYNAMICS CORPORATION,GD, $66,532,128,120 
ACTIVISION BLIZZARD, INC. (XNAS:ATVI),ACTIVISION BLIZZARD, INC.,ATVI, $56,881,512,885 
Truist Financial Corporation (XNYS:TFC),Truist Financial Corporation,TFC, $55,074,056,660 
OCCIDENTAL PETROLEUM CORPORATION (XNYS:OXY),OCCIDENTAL PETROLEUM CORPORATION,OXY, $66,378,112,794 
Dominion Energy, Inc. (XNYS:D),Dominion Energy, Inc.,D, $54,553,908,484 
CSX Corporation (XNAS:CSX),CSX Corporation,CSX, $58,969,777,140 
Aon plc (XNYS:AON),Aon plc,AON, $59,084,479,072 
ILLINOIS TOOL WORKS INC. (XNYS:ITW),ILLINOIS TOOL WORKS INC.,ITW, $60,568,196,954 
BOSTON SCIENTIFIC CORPORATION (XNYS:BSX),BOSTON SCIENTIFIC CORPORATION,BSX, $58,080,579,980 
MICRON TECHNOLOGY, INC. (XNAS:MU),MICRON TECHNOLOGY, INC.,MU, $58,380,950,000 
DOLLAR GENERAL CORPORATION (XNYS:DG),DOLLAR GENERAL CORPORATION,DG, $53,995,097,829 
EATON CORPORATION PUBLIC LIMITED COMPANY (XNYS:ETN),EATON CORPORATION PUBLIC LIMITED COMPANY,ETN, $55,495,139,000 
THE SHERWIN-WILLIAMS COMPANY (XNYS:SHW),THE SHERWIN-WILLIAMS COMPANY,SHW, $53,863,411,060 
HCA HEALTHCARE, INC. (XNYS:HCA),HCA HEALTHCARE, INC.,HCA, $56,446,297,168 
PIONEER NATURAL RESOURCES COMPANY (XNYS:PXD),PIONEER NATURAL RESOURCES COMPANY,PXD, $63,091,595,015 
EQUINIX, INC. (XNAS:EQIX),EQUINIX, INC.,EQIX, $48,688,796,574 
AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD),AIR PRODUCTS AND CHEMICALS, INC.,APD, $53,517,880,710 
PUBLIC STORAGE (XNYS:PSA),PUBLIC STORAGE,PSA, $51,377,603,292 
EDWARDS LIFESCIENCES CORPORATION (XNYS:EW),EDWARDS LIFESCIENCES CORPORATION,EW, $52,577,374,311 
Schlumberger N.V. (XNYS:SLB),Schlumberger N.V.,SLB, $71,299,299,080 
KEURIG DR PEPPER INC. (XNAS:KDP),KEURIG DR PEPPER INC.,KDP, $53,274,133,440 
INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE),INTERCONTINENTAL EXCHANGE, INC.,ICE, $51,964,535,510 
LAM RESEARCH CORPORATION (XNAS:LRCX),LAM RESEARCH CORPORATION,LRCX, $50,531,612,505 
THE ESTEE LAUDER COMPANIES INC. (XNYS:EL),THE ESTEE LAUDER COMPANIES INC.,EL, $72,060,418,940 
MARATHON PETROLEUM CORPORATION (XNYS:MPC),MARATHON PETROLEUM CORPORATION,MPC, $55,536,752,258 
METLIFE, INC. (XNYS:MET),METLIFE, INC.,MET, $54,285,629,258 
NORFOLK SOUTHERN CORPORATION (XNYS:NSC),NORFOLK SOUTHERN CORPORATION,NSC, $48,863,124,548 
MCKESSON CORPORATION (XNYS:MCK),MCKESSON CORPORATION,MCK, $51,626,540,000 
CHARTER COMMUNICATIONS, INC. (XNAS:CHTR),CHARTER COMMUNICATIONS, INC.,CHTR, $53,080,345,920 
SEMPRA ENERGY (XNYS:SRE),SEMPRA ENERGY,SRE, $44,720,069,484 
MODERNA, INC. (XNAS:MRNA),MODERNA, INC.,MRNA, $50,198,732,672 
GENERAL MOTORS COMPANY (XNYS:GM),GENERAL MOTORS COMPANY,GM, $51,031,715,000 
SYNOPSYS, INC. (XNAS:SNPS),SYNOPSYS, INC.,SNPS, $44,299,950,000 
FIDELITY NATIONAL INFORMATION SERVICES, INC. (XNYS:FIS),FIDELITY NATIONAL INFORMATION SERVICES, INC.,FIS, $47,318,974,438 
MONSTER BEVERAGE CORPORATION (XNAS:MNST),MONSTER BEVERAGE CORPORATION,MNST, $46,149,900,945 
MARRIOTT INTERNATIONAL, INC. (XNAS:MAR),MARRIOTT INTERNATIONAL, INC.,MAR, $49,815,394,386 
